liechtenstein,liechtenstein,liechtensteiner
lithuania,lithuania,lithuanian
luxembourg,luxembourg,luxembourger
macao,macao,macanese
republic of macedonia,macedonia,macedonian
madagascar,madagascar,malagasy or madagascan
malawi,malawi,malawian
malaysia,malaysia,malaysian
maldives,maldives,maldivian
mali,mali,malian
malta,malta,maltese
marshall islands,marshall islands,marshallese
martinique,martinique,martinican
mauritania,mauritania,mauritanian
mauritius,mauritius,mauritian
mayotte,mayotte,mahorais
mexico,mexico,mexican
federated states of micronesia,micronesia,micronesian
republic of moldova,moldova,moldovan
monaco,monaco,monégasque or monacan
mongolia,mongolia,mongolian
montenegro,montenegro,montenegrin
montserrat,montserrat,montserratian
morocco,morocco,moroccan
mozambique,mozambique,mozambican
myanmar,myanmar,burma
namibia,namibia,namibian
nauru,nauru,nauruan
nepal,nepal,nepalese
netherlands,netherlands,holland
new caledonia,new caledonia,new caledonian
new zealand,new zealand,new zealand
nicaragua,nicaragua,nicaraguan
niger,niger,nigerien
nigeria,nigeria,nigerian
niue,niue,niuean
norfolk island,norfolk island,norfolk islander
northern mariana islands,northern mariana islands,northern marianan
norway,norway,norwegian
oman,oman,omani
pakistan,pakistan,pakistani
palau,palau,palauan
state of palestine,palestine,palestinians
panama,panama,panamanian
papua new guinea,papua new guinea,papua new guinean or guinean
paraguay,paraguay,paraguayan
peru,peru,peruvian
philippines,philippines,filipino
pitcairn,pitcairn,pitcairner
poland,poland,polish
portugal,portugal,portuguese
puerto rico,puerto rico,puerto rican
qatar,qatar,qatari
réunion,réunion,réunionese
romania,romania,romanian
russian federation,russian federation,russian
rwanda,rwanda,rwandan
saint barthélemy,saint barthélemy,barthélemois
saint helena ascension and tristan da cunha,saint helena,saint helenian
saint kitts and nevis,saint kitts,kittsian
saint lucia,saint lucia,saint lucian
saint martin,saint martin,saint-martinoise
saint pierre and miquelon,saint pierre and miquelon,saint-pierrais
saint vincent and the grenadines,saint vincent and the grenadines,saint vincentian
samoa,samoa,samoa
san marino,san marino,sammarinese
sao tome and principe,sao tome and principe,são toméan
saudi arabia,saudi arabia,saudi arabian or saudi
senegal,senegal,senegalese
serbia,serbia,serb or serbian
seychelles,seychelles,seychellois
sierra leone,sierra leone,sierra leonian
singapore,singapore,singaporean
sint maarten,sint maarten,sint maartener
slovakia,slovakia,slovak
slovenia,slovenia,slovene or slovenian
solomon islands,solomon islands,solomon islander
somalia,somalia,somali
south africa,south africa,south african
south georgia and the south sandwich islands,south georgia and the south sandwich islands,south sandwich islander
spain,spain,spanish
sri lanka,sri lanka,sri lankan
sudan,sudan,sudanese
suriname,suriname,surinamese
south sudan,south sudan,south sudanese
svalbard and jan mayen,svalbard and jan mayen,svalbardian
swaziland,swaziland,swazi
sweden,sweden,swedish
switzerland,switzerland,swiss
taiwan,taiwan,taiwanese
tajikistan,tajikistan,tajik or tadjik
united republic of tanzania,tanzania,tanzanian
thailand,thailand,thai
timor-leste,timor-leste,timorese
togo,togo,togolese
tokelau,tokelau,tokelauan
tonga,tonga,tongan
trinidad and tobago,trinidad and tobago,trinidadian
tunisia,tunisia,tunisian
turkey,turkey,turkish
turkmenistan,turkmenistan,turkmen or turkoman
turks and caicos islands,turks and caicos islands,turks and caicos islander
tuvalu,tuvalu,tuvaluan
uganda,uganda,ugandan
ukraine,ukraine,ukrainian
united arab emirates,united arab emirates,emirati
united kingdom,united kingdom,briton
united states,united states,american
united states minor outlying islands,united states minor outlying islands,united states minor outlying islands
uruguay,uruguay,uruguayan
uzbekistan,uzbekistan,uzbek
vanuatu,vanuatu,vanuatuan
bolivarian republic of venezuela,venezuela,venezuelan
viet nam,viet nam,vietnamese
virgin islands british,british virgin islands,british virgin islands
virgin islands u.s.,u.s. virgin islands,u.s. virgin islands
wallis and futuna,wallis and futuna,wallis and futuna islander
western sahara,western sahara,sahrawi
yemen,yemen,yemeni
zambia,zambia,zambian
zimbabwe,zimbabwe,zimbabwean
syria,syria,syrian
